"","reg","name","slope1","peak","cum","pop_density_km","pop_white_perc","unemploy_perc","address_garden_perc","green_km_pp","urban_km_pp","frag","ln","lt","meantempperiod","meanrainperiod","r2","meantempperiod2","meanrainperiod2","av_garden_m","meantempperiod_total","meanrainperiod_total","pval","slope2","meanrelpark1","meanrelmob1","meanrelnotpark1","meanrelpark2","meanrelmob2","meanrelnotpark2","parkpref1","parkpref2","ihsslope1","ihsslope2","meanrelparktotal","meanrelmobtotal","meanrelnotparktotal","parkpreftotal"
"38","North West","Knowsley",0.136396807,32,613,0.000169085,95.27027027,3.8,93,0.000666312,0.000404099,5.68625,-2.8329699,53.43788147,6.6,0.362857142857143,0.604518355695022,10.6625,0.67075,192.4,9.60925925925926,0.590925925925926,0.000217764178203808,-0.021802,-18.4961456255112,-24.284727285849,-25.4424436179166,-16.3043288754478,-31.932789878646,-35.0584820792857,6.94629799240542,18.7541532038378,3.30747151361796,-1.52143650344292,-16.8725776625013,-29.949958836069,-32.5654350707826,15.6928574082813
"39","London","Lambeth",0.08287514,53,1185,0.001214954,47.9876161,5.3,75,0.010889123,0.001372946,3.339375,-0.11385,51.46442032,7.4,0.963809523809524,0.657702127444134,10.045652173913,0.620869565217391,132.3,9.21641791044776,0.728358208955224,2.786342076793e-05,-0.033227,10.4935851276878,-13.2250529560359,-17.9687805727807,9.7604621952479,-29.3422141186558,-37.1627493814365,28.4623657004685,46.9232115766844,2.81151742791536,-1.91583652682967,9.99024699496788,-24.2905665900734,-31.1467293070817,41.1369763020496
"40","North West","Lancaster",0.081460552,41,780,2.47e-05,90.14084507,4.5,87,2.64e-05,0.001051992,2.935,-2.66030002,54.07901001,6.86470588235294,0.477647058823529,0.582591785678263,10.4619047619048,0.640238095238095,260.8,9.42542372881356,0.593389830508475,0.000252243665114541,-0.02691,9.02646441961843,-20.8670244877001,-26.8457222691639,19.275490425073,-28.9433546402674,-38.5871236533355,35.8721866887823,57.8626140784086,2.79442728332785,-1.71592143237068,16.3223812370607,-26.6162764607141,-35.2040080002691,51.5263892373298
"41","Yorkshire and The Humber","Leeds",0.038667629,72,1883,0.000141448,81.53846154,4.3,85,0.000469185,0.000372868,5.5575,-1.50735998,53.82273102,7.79615384615385,0.389230769230769,0.849852543946826,11.9779943884355,0.677865061731357,228.3,10.8570886760714,0.600499168896148,1.33452474873639e-05,-0.016613,45.1135948921252,-15.7849181722934,-27.9646207851772,70.2707021991148,-12.7330779273728,-29.3338339526703,73.0782156773023,99.6045361517851,2.06188078541714,-1.28103126260011,63.2682084126331,-13.58255923266,-28.9527127617186,92.2209211743517
"42","London","Lewisham",0.043430892,52,966,0.000838368,47.98657718,4.7,82,0.005393605,0.000994403,3.949375,-0.01733,51.44231033,7.17826086956522,0.84304347826087,0.774923986272114,10.5634146341463,0.655853658536585,158.9,9.346875,0.723125,0.000121474794974544,-0.025761,-17.7885866419732,-17.9110609714624,-17.9355558373603,-23.0771926088491,-32.6465625760289,-34.5604365694649,0.146969195387037,11.4832439606158,2.17473094003967,-1.67512902175132,-21.1765998395031,-27.3509916868879,-28.5858700563648,7.40927021686172
"43","North West","Liverpool",0.079617643,74,1649,0.000439011,82.75154004,4.8,84,0.003772785,0.00057513,3.56125,-2.91364002,53.40829849,6.935,0.621,0.769065891304906,11.4116124075903,0.58139795157076,144.4,10.345752310545,0.590827010720579,6.67287958381641e-06,-0.020059,19.8705720576668,-17.9618647248354,-25.5283520813358,28.548049132191,-25.0310925522908,-35.7469208891872,45.3989241390026,64.2949700213781,2.77171853189439,-1.44627092617205,26.4819831620662,-23.3479430695633,-33.3139283158892,59.7959114779554
"44","North West","Manchester",0.089509935,73,1732,0.000467212,57.6427256,5.8,79,0.002526324,0.000589728,3.925625,-2.23358989,53.47008896,6.93333333333333,0.56,0.668095494259103,12.0945841619258,0.640159174473614,148.4,11.0816283918282,0.624427000044213,2.21102494572099e-08,-0.014899,26.3081529587915,-21.0942425695474,-30.5747216752152,58.7981615331677,-21.3708447735601,-37.4046460349056,56.8828746340066,96.2028075680733,2.88801751666665,-1.18914765562619,52.4216177942714,-21.3165583596884,-36.0641935904804,88.4858113847518
"45","South East","Medway",0.078993402,37,753,0.000143372,85.19855596,4.1,92,0.000596389,0.000422645,4.29125,0.563173,51.44770813,7.02916666666667,0.592083333333333,0.527239648105906,10.9375,0.57,216.1,9.63472222222222,0.577361111111111,1.74412718184619e-06,-0.024523,-4.66666666666667,-18.2361111111111,-20.95,6.98024180013645,-30.2588177275635,-37.7066296331034,16.2833333333333,44.6868714332399,2.7639089898873,-1.62936863283692,3.09793897786874,-26.2512488554127,-32.121086422069,35.2190253999377
"46","London","Merton",0.033778996,37,658,0.000553795,43.96135266,4.3,88,0.003454742,0.000693035,4.2,-0.18866999,51.41056824,7.18846153846154,0.761538461538462,0.709379639089714,10.6266666666667,0.751666666666667,165.4,9.03035714285714,0.75625,0.000281561448121125,-0.030446,-6.46131046179143,-14.5745708612773,-16.1972229411745,-5.34182255950864,-26.8329681060167,-31.1311972153183,9.73591247938302,25.7893746558097,1.93162456387675,-1.83245665135621,-5.86158479985422,-21.1415693852448,-24.197566302323,18.3359815024687
"47","North East","Middlesbrough",0.188570364,26,631,0.000260616,82.9787234,7.6,95,0.001310782,0.000393591,4.925,-1.21098995,54.5446701,6.6,0.362857142857143,0.747886180255863,10.6615384615385,0.679230769230769,181.3,9.58867924528302,0.595660377358491,1.54908792243635e-08,-0.017813,-31.1353468301313,-31.3669264504919,-31.413242374564,-29.7158024299363,-39.6194397762514,-41.6001672455145,0.277895544432702,11.8843648155782,3.63073562953226,-1.34132300786375,-30.0907764224406,-37.4395305958621,-38.9092814305464,8.8185050081058
"48","North East","Newcastle upon Tyne",0.077900072,41,1054,0.000259521,81.97278912,6.1,86,0.001139814,0.00054786,5.5475,-1.65296996,55.02101135,6.88,0.588,0.662489539721353,11.2714285714286,0.49,169.9,10.1157894736842,0.515789473684211,3.70266167447052e-05,-0.022978,0.405318448611755,-26.6221942206069,-32.0276967544507,8.18017593582681,-30.8397171460545,-38.6436957624308,32.4330152030624,46.8238716982576,2.75008342519471,-1.56940099303704,6.13416080761233,-29.7298426919893,-36.9026433919097,43.036804199522
"49","London","Newham",0.053762711,57,989,0.000949918,15.36231884,4.8,82,0.017603304,0.001190467,2.515625,0.027369,51.53131866,7.25,0.825,0.812159744575554,10.5368421052632,0.604736842105263,103.3,9.26451612903226,0.69,3.60463199064267e-05,-0.030057,10.1862806064805,-19.2039819178078,-25.0820344226654,6.82274860252954,-31.4107044128754,-39.0573950159564,35.2683150291459,45.880143618486,2.38368134030333,-1.82024741801976,8.1247609911557,-26.6855215115589,-33.6475780121019,41.7723390032576
"50","North East","Northumberland",0.071672101,40,991,6.33e-06,98.11320755,4.7,93,6.53e-06,0.001045598,1.915625,-2.07521009,55.30036926,7.58846153846154,0.467307692307692,0.678417804102564,10.5512195121951,0.650731707317073,343.5,9.40149253731343,0.57955223880597,3.79746830764537e-05,-0.026447,-5.73076923076923,-20.6538461538462,-23.6384615384615,-26.0731707317073,-33.5320370213984,-35.0238102793366,17.9076923076923,8.95063954762931,2.66749526129843,-1.69967044783435,-18.1791044776119,-28.5345301175722,-30.6056152455642,12.4265107679523
